shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom
18.0,1.0,6798,CIO,7.23,169141.0,-0.376724,54591.0,2020-03,394692.93000000005,2020-03-01,4.1,4.9,BB,,,,,-13.39,-4.86,-13.95,0.13,7.97
11.0,1.0,1629,KBR,19.08,467253.0,0.013277,145228.0,2014-10,2770950.24,2014-10-01,2.2,2.8,B,-0.018946583,-0.070176675,0.034851925,0.006880533,2.52,4.2,-1.81,0.0,-0.06
12.0,1.0,2385,KORS,51.66,612981.0,-0.093048,179431.0,2016-04,9269405.46,2016-04-01,3.1,3.0,BB,0.025355267,0.05271435,-0.040464133,-0.029043617,0.91,0.74,3.28,0.01,-6.02
11.0,3.0,6020,LKFN,46.59,40224.0,0.091356,25233.0,2020-06,1175605.47,2020-06-01,2.1,4.1,B,,,,,2.46,2.7,-2.17,0.01,-0.73
48.0,1.0,6798,PEI,6.15,288804.0,-0.137042,71095.0,2019-02,437234.25,2019-02-01,1.9,4.1,B,-0.015488892,-0.024553458,0.007253492,0.015865667,3.4,2.05,-2.67,0.18,0.86
11.0,3.0,2830.0,IMGN,16.59,143034.0,-0.096897,84725.0,2013-06,1405587.75,2013-06-01,2.858,4.0,BB,0.002879308,0.013598783,-0.002240808,-0.009961475,-1.2,1.33,0.03,0.0,0.52
11.0,3.0,5060,AGYS,16.7,82263.0,-0.480237,23401.0,2020-03,390796.7,2020-03-01,2.6,3.9,B,,,,,-13.39,-4.86,-13.95,0.13,7.97
11.0,1.0,6021,FNB,13.27,143516.0,0.009893,174692.0,2015-04,2318162.84,2015-04-01,5.5,4.6,BBB,-0.003960967,0.070843992,-0.009231458,0.020542875,0.59,-3.03,1.82,0.0,-7.27
31.0,1.0,4812.0,MBT,20.7,399947.0,-0.001929,388698.0,2013-04,8046048.6,2013-04-01,2.35,4.15,BB,-0.030219217,0.011294725,0.0250109,-0.002319942,1.55,-2.36,0.45,0.0,0.22
11.0,1.0,8071,LH,175.75,170438.0,-0.089001,97400.0,2020-08,17118050.0,2020-08-01,5.55,4.75,BBB,,,,,7.63,-0.22,-2.96,0.01,0.55
11.0,1.0,8071,DGX,68.32,192971.0,0.005445,143350.0,2015-11,9793671.999999998,2015-11-01,7.0,5.4,A,0.038453308,8.37833e-05,0.018648217,0.002610683,0.56,3.59,-0.42,0.0,2.28
12.0,1.0,1381,BTE,37.86,82164.0,-0.146079,166069.0,2014-09,6287372.34,2014-09-01,2.8,2.9,B,-0.019768433,-0.035909633,0.037610742,0.008333083,-1.97,-3.72,-1.34,0.0,0.5
