"machine","timestamp","date","column","product_name"
1506,2017-01-08 06:04:47,2017-01-08,58,"water_(sparkling)_1"
1506,2017-01-08 05:26:35,2017-01-08,58,"water_(sparkling)_1"
1506,2017-01-08 04:51:06,2017-01-08,58,"water_(sparkling)_1"
1506,2017-01-07 00:52:25,2017-01-07,58,"water_(sparkling)_1"
1506,2017-01-06 00:06:57,2017-01-06,58,"water_(sparkling)_1"
1506,2017-01-04 00:11:59,2017-01-04,58,"water_(sparkling)_1"
1506,2017-01-15 17:11:25,2017-01-15,58,"water_(sparkling)_1"
1506,2017-01-15 17:11:11,2017-01-15,58,"water_(sparkling)_1"
1506,2017-01-15 01:39:38,2017-01-15,58,"water_(sparkling)_1"
1506,2017-01-14 04:50:17,2017-01-14,58,"water_(sparkling)_1"
1506,2017-01-14 04:48:04,2017-01-14,58,"water_(sparkling)_1"
1506,2017-01-10 03:45:02,2017-01-10,58,"water_(sparkling)_1"
1506,2017-01-09 00:39:10,2017-01-09,58,"water_(sparkling)_1"
1506,2017-01-22 03:08:37,2017-01-22,58,"water_(sparkling)_1"
1506,2017-01-22 00:16:17,2017-01-22,58,"water_(sparkling)_1"
1506,2017-01-21 23:41:17,2017-01-21,58,"water_(sparkling)_1"
1506,2017-01-21 05:25:06,2017-01-21,58,"water_(sparkling)_1"
1506,2017-01-21 05:21:06,2017-01-21,58,"water_(sparkling)_1"
1506,2017-01-21 04:48:15,2017-01-21,58,"water_(sparkling)_1"
1506,2017-01-19 03:15:39,2017-01-19,58,"water_(sparkling)_1"
1506,2017-01-18 06:00:05,2017-01-18,58,"water_(sparkling)_1"
1506,2017-01-17 00:10:45,2017-01-17,58,"water_(sparkling)_1"
1506,2017-01-16 14:11:40,2017-01-16,58,"water_(sparkling)_1"
1506,2017-01-16 11:46:19,2017-01-16,58,"water_(sparkling)_1"
1506,2017-01-29 05:15:13,2017-01-29,58,"water_(sparkling)_1"
1506,2017-01-29 05:07:02,2017-01-29,58,"water_(sparkling)_1"
1506,2017-01-29 04:43:09,2017-01-29,58,"water_(sparkling)_1"
1506,2017-01-29 03:03:11,2017-01-29,58,"water_(sparkling)_1"
1506,2017-01-29 01:36:05,2017-01-29,58,"water_(sparkling)_1"
1506,2017-01-28 05:07:12,2017-01-28,58,"water_(sparkling)_1"
1506,2017-01-28 03:44:41,2017-01-28,58,"water_(sparkling)_1"
1506,2017-01-28 03:42:03,2017-01-28,58,"water_(sparkling)_1"
1506,2017-01-27 15:07:38,2017-01-27,58,"water_(sparkling)_1"
1506,2017-01-27 00:16:22,2017-01-27,58,"water_(sparkling)_1"
1506,2017-01-27 00:14:17,2017-01-27,58,"water_(sparkling)_1"
1506,2017-01-26 03:43:59,2017-01-26,58,"water_(sparkling)_1"
1506,2017-01-25 23:42:52,2017-01-25,58,"water_(sparkling)_1"
1506,2017-02-12 05:18:21,2017-02-12,58,"water_(sparkling)_1"
1506,2017-02-12 04:31:16,2017-02-12,58,"water_(sparkling)_1"
1506,2017-02-12 00:07:52,2017-02-12,58,"water_(sparkling)_1"
1506,2017-02-12 00:06:54,2017-02-12,58,"water_(sparkling)_1"
1506,2017-02-11 23:01:20,2017-02-11,58,"water_(sparkling)_1"
1506,2017-02-11 19:10:41,2017-02-11,58,"water_(sparkling)_1"
1506,2017-02-11 03:42:08,2017-02-11,58,"water_(sparkling)_1"
1506,2017-02-11 02:59:54,2017-02-11,58,"water_(sparkling)_1"
1506,2017-02-11 02:58:11,2017-02-11,58,"water_(sparkling)_1"
1506,2017-02-11 01:28:12,2017-02-11,58,"water_(sparkling)_1"
1506,2017-02-10 23:42:18,2017-02-10,58,"water_(sparkling)_1"
1506,2017-02-10 03:39:46,2017-02-10,58,"water_(sparkling)_1"
1506,2017-02-10 00:11:05,2017-02-10,57,"water_(sparkling)_1"
1506,2017-02-09 11:15:19,2017-02-09,58,"water_(sparkling)_1"
1506,2017-02-18 04:27:09,2017-02-18,58,"water_(sparkling)_1"
1506,2017-02-18 04:17:05,2017-02-18,58,"water_(sparkling)_1"
1506,2017-02-18 03:36:17,2017-02-18,58,"water_(sparkling)_1"
1506,2017-02-18 03:36:02,2017-02-18,57,"water_(sparkling)_1"
1506,2017-02-18 03:35:51,2017-02-18,57,"water_(sparkling)_1"
