shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom
11.0,1.0,3291,MMM,174.78999,487951.0,0.011926,576822.0,2020-12-01,100822711.61178,2020-12-01,10.0,5.6,AAA,,,,,4.63,4.89,-1.5,0.01,-2.32
11.0,3.0,3366,MATW,24.19,56707.0,-0.181664,31269.0,2020-03-01,756397.11,2020-03-01,7.3,6.9,AA,,,,,-13.39,-4.86,-13.95,0.13,7.97
11.0,3.0,3674,TXN,114.14,938243.0,-0.053958,933685.0,2020-02-01,106570805.9,2020-02-01,8.4,6.6,AA,,,,,-8.13,1.07,-3.79,0.12,-0.4
11.0,3.0,7370,MSFT,170.23,5588346.0,0.079455,7606047.0,2020-01-01,1294777380.81,2020-01-01,10.0,7.3,AAA,,,,,-0.11,-3.11,-6.23,0.13,5.98
12.0,1.0,4911,FTS,40.04,75020.0,-0.009295,464600.0,2020-08-01,18602584.0,2020-08-01,7.5,6.38,AA,,,,,7.63,-0.22,-2.96,0.01,0.55
11.0,1.0,5944,TIF,129.5,990138.0,-0.026274,121191.0,2020-03-01,15694234.5,2020-03-01,10.0,6.9,AAA,,,,,-13.39,-4.86,-13.95,0.13,7.97
44.0,1.0,6722,NXR,16.4,3142.0,-0.008831,13046.0,2020-09-01,213954.4,2020-09-01,8.5,6.7,AA,,,,,-3.63,0.04,-2.68,0.01,3.12
73.0,3.0,6726,AIA,81.71,45878.0,0.100323,28900.0,2020-11-01,2361419.0,2020-11-01,9.1,6.8,AAA,,,,,12.47,5.81,2.13,0.01,-12.43
31.0,1.0,7311,WPP,37.3,45292.0,-0.046767,13929.0,2020-07-01,519551.7,2020-07-01,8.525,6.475,AAA,,,,,5.77,-2.32,-1.37,0.01,7.61
11.0,3.0,3670,NVDA,270.07001,2956454.0,0.14296,612000.0,2020-02-01,165282846.12,2020-02-01,9.4,6.8,AAA,,,,,-8.13,1.07,-3.79,0.12,-0.4
12.0,1.0,6282,JHG,21.56,331633.0,0.224581,184914.0,2020-05-01,3986745.84,2020-05-01,10.0,6.8,AAA,,,,,5.58,2.47,-4.89,0.01,0.43
31.0,1.0,2911,SHI,20.58,10205.0,-0.060274,3957.0,2020-12-01,81435.06,2020-12-01,10.0,6.5,AAA,,,,,4.63,4.89,-1.5,0.01,-2.32
11.0,1.0,2621,BCC,38.38,62739.0,0.001503,39197.0,2020-10-01,1504380.86,2020-10-01,10.0,7.1,AAA,,,,,-2.1,4.37,4.22,0.01,-3.05
11.0,1.0,3579,PBI,5.31,608654.0,0.0,173082.0,2020-10-01,919065.42,2020-10-01,7.0,6.6,A,,,,,-2.1,4.37,4.22,0.01,-3.05
11.0,1.0,3579,PBI,3.34,419663.0,0.284615,172627.0,2020-07-01,576574.1799999999,2020-07-01,7.0,6.5,A,,,,,5.77,-2.32,-1.37,0.01,7.61
31.0,1.0,4931,CIG,3.89,233.0,-0.003288,54192.0,2020-01-01,210806.88,2020-01-01,8.5,6.9,AA,,,,,-0.11,-3.11,-6.23,0.13,5.98
11.0,3.0,4911,XEL,62.32,620275.0,-0.099292,524669.0,2020-02-01,32697372.08,2020-02-01,7.840000000000001,6.48,AA,,,,,-8.13,1.07,-3.79,0.12,-0.4
31.0,3.0,4812,VOD,15.2,737648.0,-0.046424,387450.0,2020-07-01,5889240.0,2020-07-01,8.95,6.699999999999999,AAA,,,,,5.77,-2.32,-1.37,0.01,7.61
11.0,3.0,7370,MSFT,203.50999,7637969.0,0.110559,7571000.0,2020-06-01,1540774134.29,2020-06-01,10.0,7.4,AAA,,,,,2.46,2.7,-2.17,0.01,-0.73
11.0,3.0,4932,CLNE,2.09,165602.0,-0.030162,200926.0,2020-05-01,419935.34,2020-05-01,8.3,6.3,AA,,,,,5.58,2.47,-4.89,0.01,0.43
11.0,1.0,7349,ABM,36.3,147040.0,0.181256,66666.0,2020-06-01,2419975.8,2020-06-01,7.1,5.8,A,,,,,2.46,2.7,-2.17,0.01,-0.73
12.0,1.0,8999,RBA,46.28,95415.0,0.132925,108265.0,2020-07-01,5010504.2,2020-07-01,8.4,7.2,AA,,,,,5.77,-2.32,-1.37,0.01,7.61
12.0,1.0,4911,AZRE,15.96,4916.0,0.082034,47651.0,2020-06-01,760509.9600000001,2020-06-01,7.2,6.4,AA,,,,,2.46,2.7,-2.17,0.01,-0.73
11.0,3.0,7370,MSFT,225.53,6911585.0,0.10258,7567653.0,2020-08-01,1706732781.09,2020-08-01,10.0,7.5,AAA,,,,,7.63,-0.22,-2.96,0.01,0.55
31.0,1.0,2911,SHI,18.36,10707.0,-0.106134,3957.0,2020-09-01,72650.52,2020-09-01,10.0,7.1,AAA,,,,,-3.63,0.04,-2.68,0.01,3.12
11.0,1.0,7699,TISI,13.6,30853.0,-0.148403,30364.0,2020-01-01,412950.4,2020-01-01,8.2,7.2,AA,,,,,-0.11,-3.11,-6.23,0.13,5.98
11.0,3.0,5990,PDCO,19.69,246631.0,0.077133,95947.0,2020-05-01,1889196.43,2020-05-01,10.0,7.2,AAA,,,,,5.58,2.47,-4.89,0.01,0.43
11.0,1.0,3533,BKR,13.95,1516100.0,0.328571,655035.0,2020-04-01,9137738.25,2020-04-01,9.3,7.2,AAA,,,,,13.65,2.47,-1.26,0.0,-5.23
11.0,1.0,4911,CMS,68.51,405721.0,0.090229,283842.0,2020-01-01,19446015.42,2020-01-01,8.1,6.5,AA,,,,,-0.11,-3.11,-6.23,0.13,5.98
11.0,3.0,4730,EXPD,76.37,298545.0,0.073808,166426.0,2020-05-01,12709953.62,2020-05-01,10.0,6.8,AAA,,,,,5.58,2.47,-4.89,0.01,0.43
11.0,1.0,4911,CMS,57.09,482346.0,-0.028255,286221.0,2020-04-01,16340356.89,2020-04-01,8.1,6.5,AA,,,,,13.65,2.47,-1.26,0.0,-5.23
73.0,3.0,6726,AIA,59.43,23160.0,0.066774,19700.0,2020-04-01,1170771.0,2020-04-01,9.1,7.0,AAA,,,,,13.65,2.47,-1.26,0.0,-5.23
31.0,1.0,4931,CIG,1.77,1136.0,-0.016667,54192.0,2020-04-01,95919.84,2020-04-01,8.5,6.9,AA,,,,,13.65,2.47,-1.26,0.0,-5.23
31.0,1.0,2911,SHI,26.59,14046.0,0.086637,3957.0,2020-04-01,105216.63,2020-04-01,10.0,7.1,AAA,,,,,13.65,2.47,-1.26,0.0,-5.23
11.0,1.0,7363,TBI,15.52,43694.0,0.001937,35473.0,2020-10-01,550540.96,2020-10-01,8.5,6.5,AA,,,,,-2.1,4.37,4.22,0.01,-3.05
11.0,1.0,7363,RHI,50.74,242013.0,0.080601,114602.0,2020-05-01,5814905.48,2020-05-01,8.2,6.8,AA,,,,,5.58,2.47,-4.89,0.01,0.43
73.0,4.0,6726,IG,27.1442,78861.0,-0.013242,11950.0,2020-08-01,324373.19,2020-08-01,8.5,6.8,AA,,,,,7.63,-0.22,-2.96,0.01,0.55
73.0,4.0,6726,IG,24.5226,7840.0,-0.081664,4150.0,2020-03-01,101768.79,2020-03-01,8.5,6.8,AA,,,,,-13.39,-4.86,-13.95,0.13,7.97
11.0,1.0,2621,BCC,47.8,65803.0,0.105202,39201.0,2020-12-01,1873807.8,2020-12-01,10.0,6.8,AAA,,,,,4.63,4.89,-1.5,0.01,-2.32
73.0,4.0,6726,SDY,87.93,212792.0,0.101052,191254.0,2020-04-01,16816964.220000003,2020-04-01,10.0,7.6,AAA,,,,,13.65,2.47,-1.26,0.0,-5.23
