shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom
11.0,1.0,4923,SE,35.17,740803.0,-0.045906,671327.0,2015-05-01,23610570.59,2015-05-01,8.5,7.2,AA,-0.001043142,-0.045099842,0.041625592,-0.002559833,1.36,0.92,-1.14,0.0,5.82
31.0,1.0,2035.0,UL,42.24,166069.0,0.059975,143561.0,2013-03-01,6064016.640000001,2013-03-01,8.5,7.7,AA,0.002466275,0.000432658,0.001337217,-0.010603467,4.03,0.81,-0.19,0.0,1.92
31.0,1.0,4619,TGS,14.53,51298.0,0.000689,18235.0,2018-10-01,264954.55,2018-10-01,7.1,6.1,A,-0.056713083,-0.0289703,0.0173875,0.004624725,-7.68,-4.77,3.44,0.19,-1.99
11.0,3.0,9999,KIN,7.94,33996.0,-0.106862,39005.0,2019-05-01,309699.7,2019-05-01,7.7,5.6,AA,,,,,-6.94,-1.31,-2.35,0.21,7.56
11.0,1.0,4911,NEE,156.19,346254.0,-0.011706,470398.0,2017-12-01,73471463.62,2017-12-01,9.1,7.1,AAA,-0.024018125,0.00477915,-0.008567133,-0.016049375,1.06,-1.32,0.05,0.09,-1.54
14.0,1.0,6722,IFN,25.47,14267.0,-0.001959,27642.0,2018-08-01,704041.74,2018-08-01,9.6,6.9,AAA,0.074072517,0.022886775,0.046277983,0.022157183,3.44,1.13,-3.98,0.16,5.29
11.0,1.0,7363,SRT,12.5,27426.0,0.253761,16143.0,2018-01-01,201787.5,2018-01-01,7.7,6.1,AA,0.033935708,0.061400858,0.045588258,0.00420215,5.57,-3.15,-1.33,0.12,4.05
11.0,1.0,1321.0,REN,37.45,118427.0,-0.07302,22434.0,2017-04-01,840153.3,2017-04-01,5.25,4.699999999999999,AAA,-0.003267042,-0.002472692,0.014067642,0.001014125,1.09,0.72,-2.1,0.05,0.48
11.0,1.0,3519.0,CMI,98.16,431696.0,0.054285,190066.0,2012-11-01,18656878.56,2012-11-01,7.2,5.62,AA,-0.016651225,-0.021886075,0.015841758,-0.00366355,0.78,0.64,-0.84,0.01,0.49
12.0,1.0,1731,IMAX,11.53,159018.0,-0.035953,58861.0,2020-10-01,678667.33,2020-10-01,8.4,6.0,AA,,,,,-2.1,4.37,4.22,0.01,-3.05
11.0,1.0,3822,ECL,198.03999,213303.0,-0.037856,287752.0,2019-09-01,56986403.20248,2019-09-01,7.4,6.25,BBB,,,,,1.43,-0.97,6.74,0.18,-6.81
12.0,1.0,2911.0,SU,29.49,922473.0,-0.027054,1509067.0,2013-06-01,44502385.83,2013-06-01,7.85,6.449999999999999,AAA,0.002879308,0.013598783,-0.002240808,-0.009961475,-1.2,1.33,0.03,0.0,0.52
31.0,1.0,4619,TGS,2.5,33301.0,0.106195,18235.0,2013-11-01,45587.5,2013-11-01,3.3,4.3,BB,0.028510342,0.002407825,0.0353845,-0.006720333,3.13,1.29,0.32,0.0,0.44
44.0,1.0,6726.0,NXR,14.17,8974.0,0.027066,13046.0,2016-12-01,184861.82,2016-12-01,8.4,6.9,AA,-0.0098401,0.000704892,0.000217475,0.007845542,1.81,0.08,3.56,0.03,-0.26
11.0,1.0,4923.0,SE,30.74,633616.0,-0.025674,652558.0,2012-04-01,20059632.92,2012-04-01,6.72,6.03,A,-0.012918317,0.010311542,-0.01266955,0.01694925,-0.85,-0.41,-0.78,0.0,3.75
11.0,1.0,3826,A,76.66,441104.0,0.070371,309651.0,2020-04-01,23737845.66,2020-04-01,8.8,6.3,AAA,,,,,13.65,2.47,-1.26,0.0,-5.23
