shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom
,,,NOK1V,,,,,2014-10,,2014-10-01,5.3,4.5,BBB,-0.018946583,-0.070176675,0.034851925,0.006880533,2.52,4.2,-1.81,0.0,-0.06
,,,1083,,,,,2019-12,,2019-12-01,5.5,5.2,BBB,,,,,2.77,0.73,1.77,0.14,-1.77
,,,KUD,,,,,2016-12,,2016-12-01,5.6,4.4,BBB,-0.0098401,0.000704892,0.000217475,0.007845542,1.81,0.08,3.56,0.03,-0.26
,,,BONAV B,,,,,2018-04,,2018-04-01,5.1,4.9,BBB,0.06129195,0.059387308,-0.0243539,-0.01038615,0.28,1.14,0.54,0.14,0.36
11.0,1.0,9431,WAGE,51.21,73455.0,0.015064,33820.0,2013-10,1731922.2,2013-10-01,2.86,3.5,BB,-0.012340267,0.010870025,0.002318742,0.011617708,4.18,-1.56,1.25,0.0,0.08
11.0,2.0,8051.0,NHC,74.62,4996.0,-0.003073,15178.0,2017-02,1132582.36,2017-02-01,3.3,4.1,BB,-0.021861525,-0.030681708,0.03963685,0.011828475,3.57,-2.02,-1.68,0.04,-1.65
11.0,1.0,5088,KAMN,40.0,47678.0,0.031992,27644.0,2020-05,1105760.0,2020-05-01,3.9,5.3,BB,,,,,5.58,2.47,-4.89,0.01,0.43
,,,8545,,,,,2015-04,,2015-04-01,5.0,4.1,BBB,-0.003960967,0.070843992,-0.009231458,0.020542875,0.59,-3.03,1.82,0.0,-7.27
11.0,1.0,7389,VVI,20.83,61025.0,-0.027998,20431.0,2020-09,425577.73,2020-09-01,6.7,5.7,A,,,,,-3.63,0.04,-2.68,0.01,3.12
,,,7012-TO,,,,,2012-01,,2012-01-01,7.1,6.13,A,0.058726667,-0.0186125,0.022236592,-0.020838567,5.05,2.03,-0.97,0.0,-7.91
11.0,1.0,2531.0,JCI,26.37,1577151.0,-0.167817,679739.0,2011-09,17924717.43,2011-09-01,2.33,5.11,B,-0.008092317,-0.008890708,0.033167358,0.048643417,-7.59,-3.31,-1.72,0.0,-2.42
11.0,3.0,3670,CREE,48.12,408396.0,0.02014,121938.0,2014-05,5867656.56,2014-05-01,3.5,4.8,BB,-0.0066736,0.011971642,0.012461125,0.00747155,2.06,-1.88,-0.13,0.0,0.87
,,,1821,,,,,2020-05,,2020-05-01,6.4,4.6,A,,,,,5.58,2.47,-4.89,0.01,0.43
,,,033640,,,,,2020-12,,2020-12-01,0.0,3.3,CCC,,,,,4.63,4.89,-1.5,0.01,-2.32
,,,4704,,,,,2012-08,,2012-08-01,2.4,3.72,B,0.0264704,-0.021497433,0.0274223,-0.000689033,2.55,0.48,1.3,0.01,-2.37
,,,4091,,,,,2013-05,,2013-05-01,3.8,3.4,BB,0.035481283,-0.028590558,0.034830267,0.010653667,2.8,1.73,2.63,0.0,-2.02
,,,RPL,,,,,2016-09,,2016-09-01,2.6,3.6,B,-0.00467505,0.017101967,-0.012727533,-0.000452958,0.25,2.13,-1.23,0.02,0.19
,,,BOQ,,,,,2020-12,,2020-12-01,4.2,4.5,BB,,,,,4.63,4.89,-1.5,0.01,-2.32
11.0,3.0,5912,WBA,35.92,1606295.0,-0.055234,865916.0,2020-09,31103702.720000003,2020-09-01,5.5,4.5,BBB,,,,,-3.63,0.04,-2.68,0.01,3.12
11.0,1.0,7011,CVEO,4.0,641782.0,-0.143469,107322.0,2015-05,429288.0,2015-05-01,6.4,5.6,A,-0.001043142,-0.045099842,0.041625592,-0.002559833,1.36,0.92,-1.14,0.0,5.82
,,,AXFO-SK,,,,,2008-04,,2008-04-01,5.71,5.49,BBB,0.065747225,0.045943217,,-0.036283325,4.6,-1.65,-1.04,0.18,-0.31
,,,BCO-N,,,,,2005-05,,2005-05-01,3.47,3.56,BB,0.001607092,0.022727233,,,3.65,2.89,-0.64,0.24,0.45
12.0,3.0,8730,ALKS,33.27,180481.0,0.012169,156039.0,2019-02,5191417.53,2019-02-01,4.0,4.5,BB,-0.015488892,-0.024553458,0.007253492,0.015865667,3.4,2.05,-2.67,0.18,0.86
,,,PCG.PR.A,,,,,2016-03,,2016-03-01,5.7,5.7,BBB,0.006308525,0.027036092,-0.017730692,0.025660067,6.96,0.82,1.19,0.02,-5.01
11.0,3.0,9999,ZNGA,2.55,4244160.0,-0.055556,767444.0,2014-10,1956982.2,2014-10-01,3.3,4.3,BB,-0.018946583,-0.070176675,0.034851925,0.006880533,2.52,4.2,-1.81,0.0,-0.06
11.0,3.0,9999,BHF,39.23,258371.0,-0.04689,106027.0,2019-12,4159439.21,2019-12-01,1.9,3.4,B,,,,,2.77,0.73,1.77,0.14,-1.77
,,,BFF,,,,,2018-11,,2018-11-01,4.7,4.6,BBB,0.014213442,-0.003405017,-0.018553633,-0.016970983,1.69,-0.68,0.28,0.18,-1.37
18.0,1.0,6798,ARE,120.47,189760.0,0.039853,91073.0,2017-06,10971564.31,2017-06-01,6.9,5.199999999999999,AA,0.010920842,-0.037658425,0.01672225,-0.01494705,0.78,2.23,1.48,0.06,-0.09
,,,DGE,,,,,2007-01,,2007-01-01,10.0,6.76,AAA,-0.018629567,0.017483192,,,1.4,0.13,-0.69,0.44,0.24
,,,9232,,,,,2014-07,,2014-07-01,6.2,5.9,A,0.003492967,-0.015845,0.036825325,0.022570458,-2.04,-4.29,0.03,0.0,-0.12
,,,O39,,,,,2014-03,,2014-03-01,5.2,4.7,BBB,-0.011858867,0.008650042,-0.010196275,0.00047995,0.43,-1.85,4.93,0.0,-3.29
,,,8133,,,,,2015-02,,2015-02-01,5.3,4.4,BBB,0.004692125,-0.001466408,0.040218358,-0.002807433,6.13,0.61,-1.86,0.0,-2.82
,,,UNIFINA,,,,,2020-06,,2020-06-01,3.7,4.4,BB,,,,,2.46,2.7,-2.17,0.01,-0.73
,,,3613,,,,,2019-05,,2019-05-01,6.9,4.8,A,,,,,-6.94,-1.31,-2.35,0.21,7.56
,,,PCPWP,,,,,2013-07,,2013-07-01,4.8,4.5,BBB,0.023793058,-0.018698142,0.015696567,-0.016062967,5.65,1.86,0.57,0.0,1.76
11.0,3.0,3674,FSLR,54.82,600613.0,0.194856,104433.0,2017-10,5725017.06,2017-10-01,5.7,5.6,BBB,0.0236463,0.028652592,0.013752142,0.0304212,2.25,-1.93,0.21,0.09,4.27
,,,LPP,,,,,2017-05,,2017-05-01,4.7,3.9,BBB,-0.038424192,-0.000799992,0.017869033,0.0323629,1.06,-2.52,-3.78,0.06,1.48
,,,6828,,,,,2019-06,,2019-06-01,5.2,5.0,BBB,,,,,6.93,0.27,-0.72,0.18,-2.3
